time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.5,0,19.1343,6.43286,0,18.3052,6.84742,0,18.3,6.85002,0,18.1389,6.93055,0,18.6316,6.68418,0,18.4342,6.78288,0,18.4347,6.78264,0,19.1782,6.4109,0,19.0959,6.45205,0,20.3343,5.83285,0,20.2431,5.87843,2,21.1866,5.40668,1,21.0954,5.45228,1,22.4847,4.75765,2,22.3942,4.80288
5.5,0,19.7795,6.11023,0,18.8246,6.5877,0,18.6952,6.65239,0,18.4838,6.75812,0,19.1675,6.41626,0,18.6516,6.67422,0,18.788,6.60602,0,19.2857,6.35714,0,19.817,6.09149,0,20.353,5.82349,1,21.2519,5.37404,2,21.1256,5.43718,0,22.7546,4.62268,1,22.3296,4.83519,2,22.5896,4.70518
10.5,0,19.5654,6.21731,0,18.7272,6.6364,0,18.7986,6.60068,0,18.5054,6.7473,0,19.0339,6.48307,0,18.7552,6.62241,0,18.8343,6.58283,0,19.4547,6.27266,0,19.3495,6.32525,0,19.8121,6.09394,0,20.1922,5.90392,2,20.558,5.72098,2,24.2906,3.85468,1,22.5231,4.73846,1,22.6488,4.67562
15.5,0,19.3129,6.34353,0,18.5157,6.74214,0,18.5622,6.71888,0,18.3361,6.83196,0,18.6855,6.65723,0,18.6228,6.68862,0,18.5897,6.70514,0,19.3538,6.3231,0,19.1509,6.42456,0,20.4954,5.7523,0,20.2229,5.88853,2,21.3412,5.32942,0,23.2,4.40001,1,22.6234,4.68831,1,22.537,4.73151
20.5,0,19.1407,6.42965,0,18.388,6.80601,0,18.3992,6.80038,0,18.2495,6.87525,0,18.4311,6.78444,0,18.5734,6.71332,0,18.6336,6.68321,0,19.3354,6.33229,0,19.1598,6.42008,0,20.5025,5.74874,0,20.306,5.84701,2,21.3643,5.31783,0,22.1169,4.94157,1,22.6736,4.6632,1,22.6062,4.69688
25.5,0,19.0516,6.47418,0,18.3121,6.84394,0,18.3119,6.84406,0,18.1834,6.90831,0,18.2897,6.85515,0,18.5224,6.73878,0,18.5321,6.73396,0,19.2991,6.35045,0,19.1046,6.4477,0,20.4794,5.76031,0,20.2887,5.85567,2,21.3545,5.32275,0,21.2915,5.35426,1,22.6603,4.66984,1,22.6329,4.68357
30.5,0,19.0597,6.47013,0,18.3145,6.84274,0,18.3182,6.84091,0,18.1761,6.91194,0,18.2578,6.87112,0,18.5121,6.74395,0,18.53,6.73499,0,19.2864,6.3568,0,19.1408,6.42959,0,20.4648,5.76759,0,20.3457,5.82716,2,21.3394,5.33031,0,21.3004,5.34978,1,22.6458,4.67708,1,22.5968,4.70161
35.5,0,19.0642,6.4679,0,18.3132,6.84339,0,18.3191,6.84046,0,18.1669,6.91656,0,18.2284,6.88578,0,18.5005,6.74976,0,18.5222,6.7389,0,19.2731,6.36347,0,19.1667,6.41664,0,20.4502,5.7749,0,20.3825,5.80876,2,21.3242,5.3379,0,21.3028,5.34859,1,22.6317,4.68416,1,22.5729,4.71354
40.5,0,19.066,6.46702,0,18.3096,6.84518,0,18.3165,6.84173,0,18.1569,6.92153,0,18.2024,6.89878,0,18.4888,6.75561,0,18.5114,6.7443,0,19.2602,6.36992,0,19.1846,6.40768,0,20.4364,5.7818,0,20.4044,5.79778,2,21.3099,5.34506,0,21.3007,5.34967,1,22.6186,4.69072,1,22.5581,4.72097
